,subject,sentence_type,question,speaker,intonation,illocution,annoyance,authority,polite,stance,illoc_2,perloc_2,gender,age,race,region,bias,exp_date,speaker_gen
121,R_20YuVpnaqZthay5,polar_Q,Open,Ed,Rise,request,62,60,52,40,,,F,50s_60s,Caucasian_A,"tucson, az",request,11/28/15,M
122,R_20YuVpnaqZthay5,polar_Q,Close,Laura,Fall,request,55,60,50,40,,,F,50s_60s,Caucasian_A,"tucson, az",request,11/28/15,F
123,R_20YuVpnaqZthay5,polar_Q,Box,Aron,Rise,request,40,70,60,45,,,F,50s_60s,Caucasian_A,"tucson, az",request,11/28/15,M
124,R_20YuVpnaqZthay5,polar_Q,Money,Bonnie,Level,request,90,10,20,20,,,F,50s_60s,Caucasian_A,"tucson, az",request,11/28/15,F
125,R_20YuVpnaqZthay5,polar_Q,Laundry,Aron,Rise,request,20,10,62,50,,,F,50s_60s,Caucasian_A,"tucson, az",ambiguous,11/28/15,M
126,R_20YuVpnaqZthay5,polar_Q,Problem,Ed,Rise,accusation,91,82,7,10,,,F,50s_60s,Caucasian_A,"tucson, az",ambiguous,11/28/15,M
127,R_20YuVpnaqZthay5,polar_Q,Report,Laura,Level,info_s,60,60,40,50,,,F,50s_60s,Caucasian_A,"tucson, az",ambiguous,11/28/15,F
128,R_20YuVpnaqZthay5,polar_Q,Dishes,Bonnie,Fall,info_s,60,80,25,25,,She sounds pessimistic,F,50s_60s,Caucasian_A,"tucson, az",ambiguous,11/28/15,F
129,R_VJBc6tyr03qjhER,polar_Q,Armadillos,Aron,Fall,info_s,11,70,61,51,,,F,40s,Caucasian_A,Chicago,info_s,11/28/15,M
130,R_VJBc6tyr03qjhER,polar_Q,Manatees,Ed,Level,info_s,31,10,49,50,,,F,40s,Caucasian_A,Chicago,info_s,11/28/15,M
131,R_VJBc6tyr03qjhER,polar_Q,Ants,Bonnie,Rise,info_s,0,53,97,90,,,F,40s,Caucasian_A,Chicago,info_s,11/28/15,F
132,R_VJBc6tyr03qjhER,polar_Q,Maria,Laura,Level,accusation,61,31,40,26,,annoyed,F,40s,Caucasian_A,Chicago,info_s,11/28/15,F
133,R_VJBc6tyr03qjhER,polar_Q,Movies,Ed,Rise,invitation,0,50,99,99,,,F,40s,Caucasian_A,Chicago,invitation,11/28/15,M
134,R_VJBc6tyr03qjhER,polar_Q,Bite,Bonnie,Fall,invitation,62,41,50,44,,,F,40s,Caucasian_A,Chicago,invitation,11/28/15,F
135,R_VJBc6tyr03qjhER,polar_Q,Game,Laura,Fall,invitation,71,44,44,40,,,F,40s,Caucasian_A,Chicago,invitation,11/28/15,F
136,R_VJBc6tyr03qjhER,polar_Q,Run,Aron,Rise,invitation,47,30,65,61,,,F,40s,Caucasian_A,Chicago,invitation,11/28/15,M
137,R_VJBc6tyr03qjhER,polar_Q,Open,Ed,Rise,request,80,65,29,27,,annoyed,F,40s,Caucasian_A,Chicago,request,11/28/15,M
138,R_VJBc6tyr03qjhER,polar_Q,Close,Laura,Fall,request,87,91,0,13,,,F,40s,Caucasian_A,Chicago,request,11/28/15,F
139,R_VJBc6tyr03qjhER,polar_Q,Box,Aron,Rise,request,40,61,48,51,,,F,40s,Caucasian_A,Chicago,request,11/28/15,M
140,R_VJBc6tyr03qjhER,polar_Q,Money,Bonnie,Fall,request,29,80,10,41,,,F,40s,Caucasian_A,Chicago,request,11/28/15,F
141,R_VJBc6tyr03qjhER,polar_Q,Laundry,Aron,Level,accusation,92,55,20,23,,annoyed,F,40s,Caucasian_A,Chicago,ambiguous,11/28/15,M
142,R_VJBc6tyr03qjhER,polar_Q,Problem,Ed,Level,accusation,91,91,30,9,,,F,40s,Caucasian_A,Chicago,ambiguous,11/28/15,M
143,R_VJBc6tyr03qjhER,polar_Q,Report,Laura,Rise,info_s,10,50,73,61,,,F,40s,Caucasian_A,Chicago,ambiguous,11/28/15,F
144,R_VJBc6tyr03qjhER,polar_Q,Dishes,Bonnie,Rise,info_s,55,61,81,40,,,F,40s,Caucasian_A,Chicago,ambiguous,11/28/15,F
145,R_3Dc1rjSLjFcExTQ,polar_Q,Armadillos,Aron,Rise,info_s,11,12,84,50,,,M,40s,Caucasian_A,Yale. OK,info_s,11/28/15,M
146,R_3Dc1rjSLjFcExTQ,polar_Q,Manatees,Ed,Rise,info_s,11,12,51,49,,,M,40s,Caucasian_A,Yale. OK,info_s,11/28/15,M
147,R_3Dc1rjSLjFcExTQ,polar_Q,Ants,Bonnie,Rise,info_s,10,12,49,51,,,M,40s,Caucasian_A,Yale. OK,info_s,11/28/15,F
148,R_3Dc1rjSLjFcExTQ,polar_Q,Maria,Laura,Level,info_s,66,33,49,32,,,M,40s,Caucasian_A,Yale. OK,info_s,11/28/15,F
149,R_3Dc1rjSLjFcExTQ,polar_Q,Movies,Ed,Fall,invitation,10,13,51,51,,,M,40s,Caucasian_A,Yale. OK,invitation,11/28/15,M
150,R_3Dc1rjSLjFcExTQ,polar_Q,Bite,Bonnie,Rise,invitation,5,6,81,86,,,M,40s,Caucasian_A,Yale. OK,invitation,11/28/15,F
151,R_3Dc1rjSLjFcExTQ,polar_Q,Game,Laura,Fall,invitation,4,6,58,49,,,M,40s,Caucasian_A,Yale. OK,invitation,11/28/15,F
152,R_3Dc1rjSLjFcExTQ,polar_Q,Run,Aron,Fall,invitation,7,11,86,51,,,M,40s,Caucasian_A,Yale. OK,invitation,11/28/15,M
153,R_3Dc1rjSLjFcExTQ,polar_Q,Open,Ed,Fall,request,21,30,30,49,,,M,40s,Caucasian_A,Yale. OK,request,11/28/15,M
154,R_3Dc1rjSLjFcExTQ,polar_Q,Close,Laura,Fall,request,9,10,50,49,,computer,M,40s,Caucasian_A,Yale. OK,request,11/28/15,F
155,R_3Dc1rjSLjFcExTQ,polar_Q,Box,Aron,Fall,request,5,50,51,51,,,M,40s,Caucasian_A,Yale. OK,request,11/28/15,M
156,R_3Dc1rjSLjFcExTQ,polar_Q,Money,Bonnie,Rise,request,87,17,50,66,,,M,40s,Caucasian_A,Yale. OK,request,11/28/15,F
157,R_3Dc1rjSLjFcExTQ,polar_Q,Laundry,Aron,Fall,invitation,49,14,86,50,,,M,40s,Caucasian_A,Yale. OK,ambiguous,11/28/15,M
158,R_3Dc1rjSLjFcExTQ,polar_Q,Problem,Ed,Fall,info_s,21,33,34,32,,,M,40s,Caucasian_A,Yale. OK,ambiguous,11/28/15,M
159,R_3Dc1rjSLjFcExTQ,polar_Q,Report,Laura,Fall,info_s,49,57,36,49,,,M,40s,Caucasian_A,Yale. OK,ambiguous,11/28/15,F
160,R_3Dc1rjSLjFcExTQ,polar_Q,Dishes,Bonnie,Fall,info_s,51,51,51,50,,,M,40s,Caucasian_A,Yale. OK,ambiguous,11/28/15,F
161,R_2CEqCxdUrayUIXH,polar_Q,Armadillos,Aron,Fall,info_s,10,9,76,70,,,M,20s,Hispanic_A,Brownsville,info_s,11/28/15,M
162,R_2CEqCxdUrayUIXH,polar_Q,Manatees,Ed,Fall,info_s,3,46,61,50,,,M,20s,Hispanic_A,Brownsville,info_s,11/28/15,M
